date:1029755,lat:47.248909,long:2.365052;
date:1029775,lat:47.248734,long:2.364639;
date:1029795,lat:47.248684,long:2.364511;
date:1029815,lat:47.248619,long:2.364385;
date:1029835,lat:47.248581,long:2.364258;
date:1029855,lat:47.248516,long:2.364130;
date:1029875,lat:47.248455,long:2.364005;
date:1029895,lat:47.248455,long:2.364005;
date:1029915,lat:47.248333,long:2.363719;
date:1029935,lat:47.248272,long:2.363581;
date:1029955,lat:47.248211,long:2.363460;
date:1029975,lat:47.248161,long:2.363316;
date:1029995,lat:47.248161,long:2.363316;
date:1030015,lat:47.248161,long:2.363316;
date:1030035,lat:47.248161,long:2.363316;
date:1030055,lat:47.247940,long:2.362669;
date:1030075,lat:47.247864,long:2.362524;
date:1030095,lat:47.247788,long:2.362408;
date:1030115,lat:47.247715,long:2.362283;
date:1030135,lat:47.247715,long:2.362283;
date:1030155,lat:47.247715,long:2.362283;
date:1030175,lat:47.247715,long:2.362283;
date:1030195,lat:47.247715,long:2.362283;
date:1030215,lat:47.247715,long:2.362283;
date:1030235,lat:47.247715,long:2.362283;
date:1030255,lat:47.247715,long:2.362283;
date:1030275,lat:47.247715,long:2.362283;
date:1030295,lat:47.247185,long:2.361142;
date:1030315,lat:47.247143,long:2.361018;
date:1030335,lat:47.247086,long:2.360904;
date:1030355,lat:47.247017,long:2.360789;
date:1030375,lat:47.246990,long:2.360655;
date:1030395,lat:47.246971,long:2.360505;
date:1030415,lat:47.246914,long:2.360363;
date:1030435,lat:47.246914,long:2.360363;
date:1030455,lat:47.246914,long:2.360363;
date:1030475,lat:47.246914,long:2.360363;
date:1030495,lat:47.246800,long:2.360094;
date:1030515,lat:47.246800,long:2.360094;
date:1030535,lat:47.246800,long:2.360094;
date:1030555,lat:47.246800,long:2.360094;
date:1030575,lat:47.246605,long:2.359668;
date:1030595,lat:47.246479,long:2.359394;
date:1030615,lat:47.246387,long:2.359194;
date:1030635,lat:47.246319,long:2.359026;
date:1030655,lat:47.246246,long:2.358875;
date:1030675,lat:47.246246,long:2.358875;
date:1030695,lat:47.246246,long:2.358875;
date:1030715,lat:47.246246,long:2.358875;
