date:1008075,lat:47.1349678,long:2.3935852;
date:1008095,lat:47.1350937,long:2.3936019;
date:1008115,lat:47.1352272,long:2.3936055;
date:1008135,lat:47.1353531,long:2.3936009;
date:1008155,lat:47.1354675,long:2.3936329;
date:1008175,lat:47.135582,long:2.3936689;
date:1008195,lat:47.1356964,long:2.3937254;
date:1008215,lat:47.1358147,long:2.3937721;
date:1008235,lat:47.1359329,long:2.3938267;
date:1008255,lat:47.1360359,long:2.3939068;
date:1008275,lat:47.1361465,long:2.393966;
date:1008295,lat:47.1362457,long:2.3940272;
date:1008315,lat:47.1363525,long:2.3940899;
date:1008335,lat:47.1364594,long:2.3941667;
date:1008355,lat:47.13657,long:2.3942316;
date:1008375,lat:47.1366692,long:2.3942902;
date:1008395,lat:47.1367722,long:2.3943598;
date:1008415,lat:47.1368866,long:2.3944252;
date:1008435,lat:47.1369896,long:2.394486;
date:1008455,lat:47.1370888,long:2.3945551;
date:1008475,lat:47.1371918,long:2.3946197;
date:1008495,lat:47.1373024,long:2.3946652;
date:1008515,lat:47.1374054,long:2.394716;
date:1008535,lat:47.1375237,long:2.3947437;
date:1008555,lat:47.1376343,long:2.3947675;
date:1008575,lat:47.1377487,long:2.394758;
date:1008595,lat:47.1378632,long:2.3947589;
date:1008615,lat:47.1379738,long:2.3947392;
date:1008635,lat:47.1380768,long:2.3947105;
date:1008655,lat:47.1381721,long:2.3946862;
date:1008675,lat:47.1382713,long:2.3946509;
date:1008695,lat:47.1383705,long:2.3946042;
date:1008715,lat:47.1384773,long:2.3945489;
date:1008735,lat:47.1384773,long:2.3945489;
date:1008755,lat:47.1384773,long:2.3945489;
date:1008775,lat:47.1388931,long:2.3943799;
date:1008795,lat:47.1389961,long:2.3943348;
date:1008815,lat:47.1391068,long:2.3942864;
date:1008835,lat:47.1392136,long:2.3942394;
date:1008855,lat:47.1393166,long:2.3942044;
date:1008875,lat:47.139431,long:2.3941743;
date:1008895,lat:47.1395416,long:2.3941641;
date:1008915,lat:47.1396484,long:2.3941586;
date:1008935,lat:47.1397667,long:2.3941512;
date:1008955,lat:47.1398926,long:2.3941376;
date:1008975,lat:47.1400032,long:2.3941355;
date:1008995,lat:47.1401138,long:2.3941402;
date:1009015,lat:47.1402283,long:2.3941429;
date:1009035,lat:47.1403465,long:2.3941596;
date:1009055,lat:47.1404686,long:2.3941524;
date:1009075,lat:47.1406021,long:2.3941174;
date:1009095,lat:47.1407204,long:2.3941309;
date:1009115,lat:47.1408501,long:2.3941045;
date:1009135,lat:47.1409836,long:2.3940971;
date:1009155,lat:47.1411133,long:2.3940973;
date:1009175,lat:47.1412392,long:2.394094;
date:1009195,lat:47.1413689,long:2.3940895;
date:1009215,lat:47.1415024,long:2.3940847;
